book_title|x|y
The Lady and the Highwayman (The Dread Penny Society #1)|276219|269029
Full Package (Big Rock #4)|380815|247606
Sharpe's Triumph (Sharpe #2)|174260|205197
Max (Maximum Ride #5)|275139|334810
Bloody Jack (Bloody Jack #1)|244480|325266
All I Want (Alabama Summer #2)|387761|252364
Messages (David Chance Mystery #1)|342131|200445
Here There Be Gerblins (The Adventure Zone Graphic Novels #1)|192422|288754
Deeper Than the Dead (Oak Knoll #1)|284123|163258
Claiming Alexis (Ace Security #2)|358237|250011
Attack on Titan, Vol. 11 (進撃の巨人 [Shingeki no Kyojin] #11)|221356|366881
Ice Blue (Ice #3)|386949|309062
The Hallowed Ones (The Hallowed Ones #1)|284358|330018
The Towers of the Sunset (The Saga of Recluce #2)|137997|246098
The Templar Legacy (Cotton Malone #1)|265151|156638
One Year After (After #2)|268107|160180
Losing Lila (Lila #2)|293309|327876
Hellblazer: Rare Cuts (Hellblazer (Single Issues) #11, 25–26, 35, 56, 84)|176133|278493
The Hunter (The Forbidden Game #1)|290209|339004
Something So Perfect (Something So #2)|382760|245412
Fairy Tail, Vol. 12 (Fairy Tail #12)|222648|370131
The Judge's List (The Whistler #2)|277709|167100
Embrace the Night (Cassandra Palmer #3)|343893|314874
Krondor: Tear of the Gods (The Riftwar Legacy #3)|135267|246687
Mr. Darcy Broke My Heart (Adventures with Jane Austen and her Legacy #2)|131368|252840
Academ's Fury (Codex Alera #2)|141654|235623
Nothing But the Truth|238846|305227
Sisters Like Us (Mischief Bay #4)|303881|233032
Rocked (Rocked #1)|396291|265129
Admiral Hornblower in the West Indies (Hornblower Saga: Chronological Order #11)|174106|206716
A Hat Full of Sky (Discworld #32)|160520|249872
Police (Harry Hole #10)|289865|173615
Castles (Crown's Spies #4)|392947|312239
Nice Dragons Finish Last (Heartstrikers #1)|142618|230105
Who Could That Be at This Hour? (All the Wrong Questions #1)|238257|322281
Legacy of the Force: Fury (Star Wars: Legacy of the Force #7)|122730|247919
Addy's Surprise: A Christmas Story (American Girl: Addy #3)|221055|298134
Mirror Mirror: A Book of Reverso Poems (Reverso Poems)|240739|301522
Codename Villanelle (Killing Eve #1)|234663|248361
That Swoony Feeling (Getting Lucky  #4)|373695|239093
The Body Counter (Detective Jude Fontaine Mysteries #2)|332306|200742
Steel World (Undying Mercenaries #1)|144666|225585
Anarchy (Hive Trilogy #2)|326792|297840
Aflame (Fall Away #4)|392752|248609
To Say Nothing of the Dog (Oxford Time Travel #2)|164116|245716
American Vampire, Vol. 5 (American Vampire #5)|180113|284729
Shōgun (Asian Saga: Chronological Order #1)|254503|174335
Gives Light (Gives Light #1)|394622|195832
A Question of Blood (Inspector Rebus #14)|300569|169338
The Compound (The Compound #1)|276479|329311
Two Tales of the Iron Druid Chronicles (The Iron Druid Chronicles #0.6, 3.5)|146059|229814
The Fell Sword (The Traitor Son Cycle #2)|145566|233615
The Law of Innocence (The Lincoln Lawyer #6)|276568|164308
Hot Springs (Earl Swagger #1)|267093|158421
Now & Then (Spenser #35)|277934|155259
Bloody Kiss, Vol. 01 (Bloody Kiss #1)|226601|372460
Voices (Inspector Erlendur [English Translation Order] #3)|299947|173890
In Other Worlds (The League: Nemesis Rising #3.5)|357968|306877
